Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:21,0.108s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 13:27:21,2023-11-27 13:27:23,2.309s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:27:23,2023-11-27 13:27:23,0.128s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 13:27:23,2023-11-27 13:27:25,2.007s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 13:27:25,2023-11-27 13:27:26,0.705s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC04_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 13:27:26,2023-11-27 13:29:22,1m - 56.447s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 13:27:26,2023-11-27 13:27:33,6.995s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:27:33,2023-11-27 13:27:37,4.239s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:27:37,2023-11-27 13:27:37,0.034s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:27:37,2023-11-27 13:27:37,0.028s,PASSED
