Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:57,0.004s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:57,0.097s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:59,2.385s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:23:59,2023-11-27 11:24:00,0.127s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 11:24:00,2023-11-27 11:24:02,2.032s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 11:24:02,2023-11-27 11:24:02,0.653s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 11:24:02,2023-11-27 11:26:04,2m - 1.641s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:24:02,2023-11-27 11:24:09,6.644s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:24:09,2023-11-27 11:24:14,4.469s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:24:14,2023-11-27 11:24:14,0.065s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:24:14,2023-11-27 11:24:14,0.061s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:24:14,2023-11-27 11:25:06,52.507s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:25:06,2023-11-27 11:25:07,0.440s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:25:07,2023-11-27 11:25:08,0.868s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:25:08,2023-11-27 11:25:08,0.280s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:25:08,2023-11-27 11:25:10,2.510s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:25:10,2023-11-27 11:25:55,45.003s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:25:55,2023-11-27 11:25:55,0.091s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:25:55,2023-11-27 11:25:55,0.001s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:25:55,2023-11-27 11:25:56,0.106s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.001s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.248s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.001s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.147s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.001s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:25:56,0.078s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:25:56,2023-11-27 11:26:01,4.787s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:26:01,2023-11-27 11:26:01,0.089s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 11:26:01,2023-11-27 11:26:03,2.004s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 11:26:03,2023-11-27 11:26:04,1.184s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 11:26:04,2023-11-27 11:28:04,1m - 59.460s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:26:04,2023-11-27 11:26:11,7.073s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:26:11,2023-11-27 11:26:16,4.154s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:26:16,2023-11-27 11:26:16,0.065s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:26:16,2023-11-27 11:26:16,0.128s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:26:16,2023-11-27 11:27:09,53.119s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:27:09,2023-11-27 11:27:09,0.095s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:27:09,2023-11-27 11:27:10,0.709s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:27:10,2023-11-27 11:27:10,0.052s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:27:10,2023-11-27 11:27:12,2.387s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:27:12,2023-11-27 11:27:57,45.011s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.090s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.001s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.112s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.143s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:57,0.005s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:27:57,2023-11-27 11:27:58,0.369s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 11:27:58,2023-11-27 11:27:58,0.004s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:27:58,2023-11-27 11:27:58,0.555s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:27:58,2023-11-27 11:28:01,2.345s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:28:01,2023-11-27 11:28:01,0.225s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 11:28:01,2023-11-27 11:28:03,2.009s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 11:28:03,2023-11-27 11:28:04,0.683s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 11:28:04,2023-11-27 11:30:03,1m - 59.298s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:28:04,2023-11-27 11:28:11,7.008s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:28:11,2023-11-27 11:28:15,4.137s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:28:15,2023-11-27 11:28:15,0.078s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:28:15,2023-11-27 11:28:16,0.455s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:28:16,2023-11-27 11:29:08,52.484s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:29:08,2023-11-27 11:29:09,0.127s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:29:09,2023-11-27 11:29:10,1.107s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:29:10,2023-11-27 11:29:10,0.062s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:29:10,2023-11-27 11:29:12,2.371s,PASSED
